Time,AS 10093 Mean,AS 10093 SD,AS 10093 N,caffeine 20mM Mean,caffeine 20mM SD,caffeine 20mM N,Column8,Column9,Column10,CalA Mean,CalA SD,CalA N,Ctrl Mean,Ctrl SD,Ctrl N,H2O2 100uM Mean,H2O2 100uM SD,H2O2 100uM N,H2O2 200uM Mean,H2O2 200uM SD,H2O2 200uM N,H2O2 50uM Mean,H2O2 50uM SD,H2O2 50uM N,isoproterenol 100nM Mean,isoproterenol 100nM SD,isoproterenol 100nM N
00:00:50.0,0.9990030738148719,0.09598680779302274,324,0.9850512439438432,0.09769598714888954,289,,,,1.1959615886695267,0.14733098715544707,242,1.1817091000424076,0.15888936726802552,260,1.146079591181787,0.1358563364153694,408,1.2905772317655437,0.19429904788472477,521,1.2160604875363104,0.14139042632954896,438,1.3231530455802227,0.18673117909594625,409
00:00:55.0,1.0019815697894516,0.09693252234626104,323,0.9828394934157075,0.0982960316601061,292,,,,1.2488651120469203,0.1599123739971161,241,1.205014438879963,0.1651126066974611,251,1.1740272878341755,0.1401961022241724,403,1.3342655009179683,0.2055095148932516,513,1.255471375132328,0.15312160838539982,422,1.367174521437429,0.19288431735219802,396
00:01:00.0,0.9969625271953761,0.09609407375895469,317,0.9798750285645685,0.10356282569618437,294,,,,1.2914294941342592,0.16227645058517484,241,1.2345330900556615,0.16797037114639696,260,1.1920240008461518,0.14821602437150078,394,1.3664136050711109,0.21479098595584467,510,1.2735787684710003,0.16094872222753864,427,1.4040848672805657,0.1926455191885221,404
00:01:05.0,0.9975139431860973,0.09510554953748294,325,0.9803921384237361,0.09952341488230222,288,,,,1.3246966179255526,0.17898122884669487,236,1.2544293856644113,0.1743222205529794,253,1.210320530796228,0.1492565984735748,389,1.3857691537654917,0.2205449160855971,497,1.3007060457688213,0.16005035423892347,420,1.4173376682942713,0.19557590046663934,399
00:01:10.0,0.985970097568486,0.09967194557678227,321,0.9812939821003559,0.10128370657029574,288,,,,1.3541993125257559,0.1793136128698549,236,1.2593463260215043,0.17830854557788514,249,1.2255947741805182,0.15026148727610855,387,1.4046871434275434,0.2182415786224936,505,1.3080835819381107,0.16209453358304973,422,1.438682015835877,0.200275823529621,401
00:01:15.0,0.9987080597067293,0.0971321026051086,322,0.980358660431547,0.10247606473874454,289,,,,1.367403100731672,0.1939984751965318,232,1.271956859508199,0.18295526862544498,255,1.2298039741771516,0.15820826583648112,391,1.427135682424288,0.22262040500266286,498,1.32705448045285,0.16501712516303316,419,1.43941227526708,0.20408379405345614,394
00:01:20.0,0.997438695850797,0.09178272254707605,322,0.9831693213408447,0.09999771729683225,292,,,,1.4041009336086923,0.1841011254784038,224,1.2822352044622671,0.18357807338547005,255,1.2450868713845966,0.15357913431352183,394,1.4333871961457938,0.21874806303395866,499,1.3431235032562985,0.16905818706520526,422,1.440309861364745,0.2098911700897564,396
00:01:25.0,0.9918212604502997,0.09434356434053676,324,0.9758791413038098,0.10231157134277684,292,,,,1.4268485796260322,0.19213667109115712,223,1.284851180183699,0.18016381529043843,252,1.2550867554787393,0.1600342283479328,389,1.4414803484766319,0.21878035128537993,501,1.3484862787650058,0.1645015855373986,414,1.4518761391751678,0.2056407434151246,395
00:01:30.0,0.9987901959443958,0.09355529111934144,325,0.9823492365113142,0.09693877225425067,287,,,,1.4303922395782191,0.19110759288745652,223,1.2932471191035324,0.18497101776947422,256,1.2466903903596644,0.16435061407550192,392,1.4415524954491745,0.218970757666938,498,1.3583135282856422,0.16854429626138076,418,1.4312978646454304,0.20427572249277534,396
00:01:35.0,0.9956715062340681,0.09321505193767622,320,0.9739467548443866,0.10117764234584499,288,,,,1.4506611083579435,0.189858990424249,225,1.2855556138679765,0.18836290102958886,257,1.2526694453334353,0.16283334897701762,391,1.4390467211790665,0.22086670892194626,508,1.3622451993992066,0.17629756432785,417,1.4437617282684192,0.2062886465499906,394
00:01:40.0,0.9952813569816563,0.09621629762682296,320,0.9746797979758642,0.10003328794189612,290,,,,1.4682676908785774,0.19857439807395708,229,1.2959630986488462,0.183457371915633,260,1.2588849152432733,0.16855555734768538,396,1.450013639833657,0.21941423486210385,504,1.36720332550575,0.17451597677284886,419,1.4454963337225961,0.1967034788716059,402
00:01:45.0,0.9920542676419601,0.09302584934264982,319,0.9795359469016965,0.09920721178801328,285,,,,1.4653349837968326,0.20461009030684837,227,1.289903244804643,0.18539702347940276,263,1.2647017627716257,0.16676583969085837,393,1.447901601726777,0.21965408577445555,506,1.3724883612190433,0.17196244681641626,419,1.450132157096188,0.20234857135969472,400
00:01:50.0,0.9954240957974824,0.09467952482044044,322,0.9820882952957448,0.09675570298506792,289,,,,1.4815310270914288,0.20324783307646332,225,1.3008026729369653,0.1861149121944594,258,1.265278146676327,0.1653728837630869,387,1.4472493399966972,0.21802770352452217,502,1.3749834814651367,0.17538162931304646,433,1.4442291314471016,0.19967640235460873,400
00:01:55.0,0.9930429104960442,0.09285387112703469,320,0.9735419884408104,0.09993507068853205,279,,,,1.4841690728041839,0.20415948973035228,221,1.3093703126447516,0.18554324308143436,258,1.2656632617809136,0.16983672820701756,399,1.4528695408787158,0.21940112372614554,501,1.3815056845101759,0.18063945551211325,428,1.4563926080849334,0.20574147121335215,404
